Variables;MILP Feasible;result
;250;250
Y0;1;1
Y1;1;1
Y2;1;1
Y3;1;1
Y4;1;1
Y5;1;1
Y6;1;1
Y7;1;1
Y8;1;1
Y9;1;1
Y10;1;1
Y11;1;1
Y12;1;1
Y13;1;1
Y14;1;1
Y15;1;1
Y16;1;1
Y17;1;1
Y18;1;1
Y19;1;1
Y20;1;1
Y21;1;1
Y22;1;1
Y23;1;1
Y24;1;1
Y25;1;1
Y26;1;1
Y27;1;1
Y28;1;1
Y29;1;1
Y30;1;1
Y31;1;1
Y32;1;1
Y33;1;1
Y34;1;1
Y35;1;1
Y36;1;1
Y37;1;1
Y38;1;1
Y39;1;1
Y40;1;1
Y41;1;1
Y42;1;1
Y43;1;1
Y44;1;1
Y45;1;1
Y46;1;1
Y47;1;1
Y48;1;1
Y49;1;1
Y50;1;1
Y51;1;1
Y52;1;1
Y53;1;1
Y54;1;1
Y55;1;1
Y56;1;1
Y57;1;1
X_0_0_0_0;0;0
X_1_0_0_0;0;0
X_2_0_0_0;0;0
X_3_0_0_0;0;0
X_4_0_0_0;0;0
X_5_0_0_0;0;0
X_6_0_0_0;0;0
X_7_0_0_0;0;0
X_8_0_0_0;0;0
X_9_0_0_0;0;0
X_10_0_0_0;0;0
X_11_0_0_0;0;0
X_12_0_0_0;0;0
X_13_0_0_0;0;0
X_14_0_0_0;0;0
X_15_0_0_0;0;0
X_16_0_0_0;0;0
X_17_0_0_0;0;0
X_18_0_0_0;0;0
X_19_0_0_0;0;0
X_20_0_0_0;0;0
X_21_0_0_0;0;0
X_22_0_0_0;0;0
X_23_0_0_0;0;0
X_24_0_0_0;0;0
X_25_0_0_0;0;0
X_26_0_0_0;0;0
X_27_0_0_0;0;0
X_28_0_0_0;0;0
X_29_0_0_0;0;0
X_30_0_0_0;0;0
X_31_0_0_0;0;0
X_32_0_0_0;0;0
X_33_0_0_0;0;0
X_34_0_0_0;0;0
X_35_0_0_0;0;0
X_36_0_0_0;0;0
X_37_0_0_0;0;0
X_38_0_0_0;1;1
X_39_0_0_0;0;0
X_40_0_0_0;0;0
X_41_0_0_0;0;0
X_42_0_0_0;0;0
X_43_0_0_0;0;0
X_44_0_0_0;0;0
X_45_0_0_0;0;0
X_46_0_0_0;0;0
X_47_0_0_0;0;0
X_48_0_0_0;0;0
X_49_0_0_0;0;0
X_50_0_0_0;0;0
X_51_0_0_0;0;0
X_52_0_0_0;0;0
X_53_0_0_0;0;0
X_54_0_0_0;0;0
X_55_0_0_0;0;0
X_56_0_0_0;0;0
X_57_0_0_0;0;0
X_0_0_0_1;0;0
X_1_0_0_1;0;0
X_2_0_0_1;0;0
X_3_0_0_1;0;0
X_4_0_0_1;0;0
X_5_0_0_1;0;0
X_6_0_0_1;0;0
X_7_0_0_1;0;0
X_8_0_0_1;0;0
X_9_0_0_1;0;0
X_10_0_0_1;0;0
X_11_0_0_1;0;0
X_12_0_0_1;0;0
X_13_0_0_1;0;0
X_14_0_0_1;0;0
X_15_0_0_1;0;0
X_16_0_0_1;0;0
X_17_0_0_1;0;0
X_18_0_0_1;0;0
X_19_0_0_1;0;0
X_20_0_0_1;0;0
X_21_0_0_1;0;0
X_22_0_0_1;0;0
X_23_0_0_1;0;0
X_24_0_0_1;0;0
X_25_0_0_1;0;0
X_26_0_0_1;0;0
X_27_0_0_1;1;1
X_28_0_0_1;0;0
X_29_0_0_1;0;0
X_30_0_0_1;0;0
X_31_0_0_1;0;0
X_32_0_0_1;0;0
X_33_0_0_1;0;0
X_34_0_0_1;0;0
X_35_0_0_1;0;0
X_36_0_0_1;0;0
X_37_0_0_1;0;0
X_38_0_0_1;0;0
X_39_0_0_1;0;0
X_40_0_0_1;0;0
X_41_0_0_1;0;0
X_42_0_0_1;0;0
X_43_0_0_1;0;0
X_44_0_0_1;0;0
X_45_0_0_1;0;0
X_46_0_0_1;0;0
X_47_0_0_1;0;0
X_48_0_0_1;0;0
X_49_0_0_1;0;0
X_50_0_0_1;0;0
X_51_0_0_1;0;0
X_52_0_0_1;0;0
X_53_0_0_1;0;0
X_54_0_0_1;0;0
X_55_0_0_1;0;0
X_56_0_0_1;0;0
X_57_0_0_1;0;0
X_0_0_0_2;0;0
X_1_0_0_2;0;0
X_2_0_0_2;0;0
X_3_0_0_2;0;0
X_4_0_0_2;0;0
X_5_0_0_2;0;0
X_6_0_0_2;0;0
X_7_0_0_2;0;0
X_8_0_0_2;0;0
X_9_0_0_2;0;0
X_10_0_0_2;0;0
X_11_0_0_2;0;0
X_12_0_0_2;0;0
X_13_0_0_2;0;0
X_14_0_0_2;0;0
X_15_0_0_2;0;0
X_16_0_0_2;0;0
X_17_0_0_2;0;0
X_18_0_0_2;0;0
X_19_0_0_2;0;0
X_20_0_0_2;0;0
X_21_0_0_2;0;0
X_22_0_0_2;0;0
X_23_0_0_2;0;0
X_24_0_0_2;0;0
X_25_0_0_2;0;0
X_26_0_0_2;1;1
X_27_0_0_2;0;0
X_28_0_0_2;0;0
X_29_0_0_2;0;0
X_30_0_0_2;0;0
X_31_0_0_2;0;0
X_32_0_0_2;0;0
X_33_0_0_2;0;0
X_34_0_0_2;0;0
X_35_0_0_2;0;0
X_36_0_0_2;0;0
X_37_0_0_2;0;0
X_38_0_0_2;0;0
X_39_0_0_2;0;0
X_40_0_0_2;0;0
X_41_0_0_2;0;0
X_42_0_0_2;0;0
X_43_0_0_2;0;0
X_44_0_0_2;0;0
X_45_0_0_2;0;0
X_46_0_0_2;0;0
X_47_0_0_2;0;0
X_48_0_0_2;0;0
X_49_0_0_2;0;0
X_50_0_0_2;0;0
X_51_0_0_2;0;0
X_52_0_0_2;0;0
X_53_0_0_2;0;0
X_54_0_0_2;0;0
X_55_0_0_2;0;0
X_56_0_0_2;0;0
X_57_0_0_2;0;0
X_0_0_0_3;0;0
X_1_0_0_3;0;0
X_2_0_0_3;0;0
X_3_0_0_3;0;0
X_4_0_0_3;0;0
X_5_0_0_3;0;0
X_6_0_0_3;0;0
X_7_0_0_3;0;0
X_8_0_0_3;0;0
X_9_0_0_3;0;0
X_10_0_0_3;0;0
X_11_0_0_3;0;0
X_12_0_0_3;0;0
X_13_0_0_3;0;0
X_14_0_0_3;0;0
X_15_0_0_3;0;0
X_16_0_0_3;0;0
X_17_0_0_3;0;0
X_18_0_0_3;0;0
X_19_0_0_3;0;0
X_20_0_0_3;0;0
X_21_0_0_3;0;0
X_22_0_0_3;0;0
X_23_0_0_3;0;0
X_24_0_0_3;0;0
X_25_0_0_3;1;1
X_26_0_0_3;0;0
X_27_0_0_3;0;0
X_28_0_0_3;0;0
X_29_0_0_3;0;0
X_30_0_0_3;0;0
X_31_0_0_3;0;0
X_32_0_0_3;0;0
X_33_0_0_3;0;0
X_34_0_0_3;0;0
X_35_0_0_3;0;0
X_36_0_0_3;0;0
X_37_0_0_3;0;0
X_38_0_0_3;0;0
X_39_0_0_3;0;0
X_40_0_0_3;0;0
X_41_0_0_3;0;0
X_42_0_0_3;0;0
X_43_0_0_3;0;0
X_44_0_0_3;0;0
X_45_0_0_3;0;0
X_46_0_0_3;0;0
X_47_0_0_3;0;0
X_48_0_0_3;0;0
X_49_0_0_3;0;0
X_50_0_0_3;0;0
X_51_0_0_3;0;0
X_52_0_0_3;0;0
X_53_0_0_3;0;0
X_54_0_0_3;0;0
X_55_0_0_3;0;0
X_56_0_0_3;0;0
X_57_0_0_3;0;0
X_0_0_0_4;0;0
X_1_0_0_4;0;0
X_2_0_0_4;0;0
X_3_0_0_4;0;0
X_4_0_0_4;0;0
X_5_0_0_4;0;0
X_6_0_0_4;0;0
X_7_0_0_4;0;0
X_8_0_0_4;0;0
X_9_0_0_4;0;0
X_10_0_0_4;0;0
X_11_0_0_4;0;0
X_12_0_0_4;0;0
X_13_0_0_4;0;0
X_14_0_0_4;0;0
X_15_0_0_4;0;0
X_16_0_0_4;0;0
X_17_0_0_4;0;0
X_18_0_0_4;0;0
X_19_0_0_4;0;0
X_20_0_0_4;0;0
X_21_0_0_4;0;0
X_22_0_0_4;0;0
X_23_0_0_4;0;0
X_24_0_0_4;0;0
X_25_0_0_4;0;0
X_26_0_0_4;0;0
X_27_0_0_4;0;0
X_28_0_0_4;0;0
X_29_0_0_4;0;0
X_30_0_0_4;0;0
X_31_0_0_4;0;0
X_32_0_0_4;0;0
X_33_0_0_4;0;0
X_34_0_0_4;0;0
X_35_0_0_4;0;0
X_36_0_0_4;0;0
X_37_0_0_4;0;0
X_38_0_0_4;0;0
X_39_0_0_4;0;0
X_40_0_0_4;0;0
X_41_0_0_4;0;0
X_42_0_0_4;0;0
X_43_0_0_4;0;0
X_44_0_0_4;0;0
X_45_0_0_4;0;0
X_46_0_0_4;0;0
X_47_0_0_4;0;0
X_48_0_0_4;0;0
X_49_0_0_4;0;0
X_50_0_0_4;0;0
X_51_0_0_4;0;0
X_52_0_0_4;0;0
X_53_0_0_4;1;1
X_54_0_0_4;0;0
X_55_0_0_4;0;0
X_56_0_0_4;0;0
X_57_0_0_4;0;0
X_0_0_0_5;0;0
X_1_0_0_5;0;0
X_2_0_0_5;0;0
X_3_0_0_5;0;0
X_4_0_0_5;0;0
X_5_0_0_5;0;0
X_6_0_0_5;1;1
X_7_0_0_5;0;0
X_8_0_0_5;0;0
X_9_0_0_5;0;0
X_10_0_0_5;0;0
X_11_0_0_5;0;0
X_12_0_0_5;0;0
X_13_0_0_5;0;0
X_14_0_0_5;0;0
X_15_0_0_5;0;0
X_16_0_0_5;0;0
X_17_0_0_5;0;0
X_18_0_0_5;0;0
X_19_0_0_5;0;0
X_20_0_0_5;0;0
X_21_0_0_5;0;0
X_22_0_0_5;0;0
X_23_0_0_5;0;0
X_24_0_0_5;0;0
X_25_0_0_5;0;0
X_26_0_0_5;0;0
X_27_0_0_5;0;0
X_28_0_0_5;0;0
X_29_0_0_5;0;0
X_30_0_0_5;0;0
X_31_0_0_5;0;0
X_32_0_0_5;0;0
X_33_0_0_5;0;0
X_34_0_0_5;0;0
X_35_0_0_5;0;0
X_36_0_0_5;0;0
X_37_0_0_5;0;0
X_38_0_0_5;0;0
X_39_0_0_5;0;0
X_40_0_0_5;0;0
X_41_0_0_5;0;0
X_42_0_0_5;0;0
X_43_0_0_5;0;0
X_44_0_0_5;0;0
X_45_0_0_5;0;0
X_46_0_0_5;0;0
X_47_0_0_5;0;0
X_48_0_0_5;0;0
X_49_0_0_5;0;0
X_50_0_0_5;0;0
X_51_0_0_5;0;0
X_52_0_0_5;0;0
X_53_0_0_5;0;0
X_54_0_0_5;0;0
X_55_0_0_5;0;0
X_56_0_0_5;0;0
X_57_0_0_5;0;0
X_0_0_0_6;0;0
X_1_0_0_6;0;0
X_2_0_0_6;0;0
X_3_0_0_6;0;0
X_4_0_0_6;0;0
X_5_0_0_6;0;0
